,lastPrice,tick_volume,bidPrice1,askPrice1,bidPrice1_change,askPrice1_change,bidVolume1,askVolume1,bid_vol_change,ask_vol_change,buy_tick_volume,sell_tick_volume,buy_minus_sell_volume,updateTime
0,50400.0,144.0,50400.0,50420.0,,,167.0,5.0,,,144.0,0.0,144.0,20:59:00
1,50420.0,40.0,50420.0,50430.0,1.0,1.0,10.0,3.0,0.0,0.0,40.0,0.0,40.0,21:00:00
2,50390.0,90.0,50390.0,50400.0,-1.0,-1.0,4.0,9.0,0.0,0.0,0.0,90.0,-90.0,21:00:01
3,50400.0,56.0,50380.0,50390.0,-1.0,-1.0,19.0,17.0,0.0,0.0,0.0,56.0,-56.0,21:00:01
4,50390.0,14.0,50380.0,50390.0,0.0,0.0,12.0,21.0,-7.0,4.0,8.0,6.0,2.0,21:00:02
5,50380.0,26.0,50380.0,50390.0,0.0,0.0,7.0,19.0,-5.0,-2.0,16.0,10.0,6.0,21:00:02
6,50390.0,30.0,50380.0,50390.0,0.0,0.0,1.0,9.0,-6.0,-10.0,18.0,12.0,6.0,21:00:03
7,50390.0,6.0,50380.0,50390.0,0.0,0.0,10.0,6.0,9.0,-3.0,6.0,-0.0,6.0,21:00:03
8,50370.0,30.0,50370.0,50380.0,-1.0,-1.0,8.0,2.0,0.0,0.0,0.0,30.0,-30.0,21:00:04
9,50380.0,26.0,50370.0,50380.0,0.0,0.0,13.0,39.0,5.0,37.0,12.0,14.0,-2.0,21:00:04
10,50380.0,28.0,50370.0,50380.0,0.0,0.0,18.0,34.0,5.0,-5.0,16.0,12.0,4.0,21:00:05
11,50370.0,38.0,50370.0,50380.0,0.0,0.0,9.0,30.0,-9.0,-4.0,8.0,30.0,-22.0,21:00:05
12,50370.0,30.0,50360.0,50370.0,-1.0,-1.0,18.0,1.0,0.0,0.0,0.0,30.0,-30.0,21:00:06
13,50370.0,4.0,50370.0,50380.0,1.0,1.0,6.0,32.0,0.0,0.0,4.0,0.0,4.0,21:00:06
14,50380.0,14.0,50370.0,50380.0,0.0,0.0,38.0,29.0,32.0,-3.0,6.0,8.0,-2.0,21:00:07
15,50370.0,8.0,50370.0,50380.0,0.0,0.0,37.0,36.0,-1.0,7.0,0.0,8.0,-8.0,21:00:07
16,50370.0,76.0,50370.0,50380.0,0.0,0.0,24.0,12.0,-13.0,-24.0,46.0,30.0,16.0,21:00:08
17,50370.0,48.0,50360.0,50370.0,-1.0,-1.0,13.0,2.0,0.0,0.0,0.0,48.0,-48.0,21:00:08
18,50360.0,8.0,50360.0,50370.0,0.0,0.0,8.0,15.0,-5.0,13.0,0.0,8.0,-8.0,21:00:09
19,50370.0,6.0,50360.0,50370.0,0.0,0.0,8.0,17.0,0.0,2.0,2.0,4.0,-2.0,21:00:09
20,50360.0,20.0,50350.0,50360.0,-1.0,-1.0,35.0,1.0,0.0,0.0,0.0,20.0,-20.0,21:00:10
21,50360.0,38.0,50350.0,50360.0,0.0,0.0,33.0,1.0,-2.0,0.0,18.0,20.0,-2.0,21:00:10
22,50350.0,16.0,50350.0,50360.0,0.0,0.0,19.0,1.0,-14.0,0.0,0.0,16.0,-16.0,21:00:11
23,50360.0,10.0,50350.0,50360.0,0.0,0.0,15.0,16.0,-4.0,15.0,2.0,8.0,-6.0,21:00:11
24,50350.0,8.0,50350.0,50360.0,0.0,0.0,6.0,19.0,-9.0,3.0,2.0,6.0,-4.0,21:00:12
25,50360.0,36.0,50340.0,50350.0,-1.0,-1.0,15.0,1.0,0.0,0.0,0.0,36.0,-36.0,21:00:12
26,50340.0,18.0,50340.0,50350.0,0.0,0.0,22.0,10.0,7.0,9.0,0.0,18.0,-18.0,21:00:13
27,50340.0,8.0,50340.0,50350.0,0.0,0.0,19.0,15.0,-3.0,5.0,0.0,8.0,-8.0,21:00:13
28,50340.0,20.0,50340.0,50350.0,0.0,0.0,14.0,16.0,-5.0,1.0,10.0,10.0,0.0,21:00:14
29,50340.0,32.0,50330.0,50340.0,-1.0,-1.0,27.0,6.0,0.0,0.0,0.0,32.0,-32.0,21:00:14
30,50340.0,6.0,50330.0,50340.0,0.0,0.0,25.0,9.0,-2.0,3.0,4.0,2.0,2.0,21:00:15
31,50330.0,26.0,50330.0,50340.0,0.0,0.0,11.0,12.0,-14.0,3.0,0.0,26.0,-26.0,21:00:15
32,50340.0,38.0,50320.0,50340.0,-1.0,0.0,17.0,14.0,0.0,2.0,4.0,34.0,-30.0,21:00:16
33,50320.0,44.0,50310.0,50320.0,-1.0,-1.0,42.0,24.0,0.0,0.0,0.0,44.0,-44.0,21:00:16
34,50310.0,82.0,50310.0,50320.0,0.0,0.0,29.0,5.0,-13.0,-19.0,62.0,20.0,42.0,21:00:17
35,50320.0,20.0,50320.0,50330.0,1.0,1.0,5.0,14.0,0.0,0.0,20.0,0.0,20.0,21:00:17
36,50320.0,20.0,50320.0,50330.0,0.0,0.0,11.0,15.0,6.0,1.0,0.0,20.0,-20.0,21:00:18
