,bidPrice1,bidVolume1,bid_vol_change,buy_tick_volume,askPrice1,askVolume1,ask_vol_change,sell_tick_volume,tick_volume,buy_minus_sell_volume,updateTime
0,50440.0,17.0,,0.0,50450.0,36.0,,944.0,944.0,,20:59:00
1,50450.0,29.0,0.0,254.0,50460.0,23.0,0.0,0.0,254.0,254.0,21:00:00
2,50470.0,45.0,0.0,370.0,50480.0,23.0,0.0,0.0,370.0,370.0,21:00:01
3,50470.0,62.0,17.0,38.0,50480.0,5.0,-18.0,56.0,94.0,-18.0,21:00:01
4,50480.0,20.0,0.0,50.0,50490.0,55.0,0.0,0.0,50.0,50.0,21:00:02
5,50480.0,33.0,13.0,40.0,50490.0,37.0,-18.0,26.0,66.0,14.0,21:00:02
6,50480.0,39.0,6.0,38.0,50490.0,16.0,-21.0,22.0,60.0,16.0,21:00:03
7,50490.0,26.0,0.0,28.0,50500.0,47.0,0.0,0.0,28.0,28.0,21:00:03
8,50500.0,3.0,0.0,122.0,50510.0,13.0,0.0,0.0,122.0,122.0,21:00:04
9,50500.0,1.0,-2.0,-16.0,50510.0,8.0,-5.0,156.0,140.0,-172.0,21:00:04
10,50500.0,2.0,1.0,30.0,50510.0,5.0,-3.0,54.0,84.0,-24.0,21:00:05
11,50480.0,102.0,0.0,0.0,50490.0,1.0,0.0,146.0,146.0,-146.0,21:00:05
12,50510.0,48.0,0.0,58.0,50520.0,17.0,0.0,0.0,58.0,58.0,21:00:06
13,50510.0,41.0,-7.0,24.0,50520.0,16.0,-1.0,24.0,48.0,0.0,21:00:06
14,50510.0,30.0,-11.0,20.0,50520.0,11.0,-5.0,34.0,54.0,-14.0,21:00:07
15,50510.0,29.0,-1.0,36.0,50520.0,2.0,-9.0,16.0,52.0,20.0,21:00:07
16,50510.0,29.0,0.0,10.0,50520.0,5.0,3.0,22.0,32.0,-12.0,21:00:08
17,50510.0,40.0,11.0,16.0,50520.0,8.0,3.0,24.0,40.0,-8.0,21:00:08
18,50510.0,46.0,6.0,18.0,50520.0,21.0,13.0,16.0,34.0,2.0,21:00:09
19,50510.0,45.0,-1.0,12.0,50520.0,19.0,-2.0,12.0,24.0,0.0,21:00:09
20,50520.0,3.0,0.0,64.0,50530.0,13.0,0.0,0.0,64.0,64.0,21:00:10
21,50520.0,16.0,13.0,32.0,50530.0,15.0,2.0,6.0,38.0,26.0,21:00:10
22,50520.0,33.0,17.0,14.0,50530.0,10.0,-5.0,4.0,18.0,10.0,21:00:11
23,50530.0,2.0,0.0,30.0,50540.0,19.0,0.0,0.0,30.0,30.0,21:00:11
24,50520.0,34.0,0.0,0.0,50530.0,1.0,0.0,36.0,36.0,-36.0,21:00:12
25,50540.0,13.0,0.0,56.0,50550.0,10.0,0.0,0.0,56.0,56.0,21:00:12
26,50520.0,25.0,0.0,0.0,50540.0,9.0,0.0,162.0,162.0,-162.0,21:00:13
27,50510.0,42.0,0.0,0.0,50520.0,2.0,0.0,132.0,132.0,-132.0,21:00:13
28,50520.0,2.0,0.0,82.0,50530.0,5.0,0.0,0.0,82.0,82.0,21:00:14
29,50520.0,24.0,22.0,4.0,50530.0,18.0,13.0,18.0,22.0,-14.0,21:00:14
30,50510.0,61.0,0.0,0.0,50520.0,3.0,0.0,64.0,64.0,-64.0,21:00:15
31,50520.0,5.0,0.0,42.0,50530.0,8.0,0.0,0.0,42.0,42.0,21:00:15
32,50520.0,10.0,5.0,10.0,50530.0,32.0,24.0,18.0,28.0,-8.0,21:00:16
33,50520.0,3.0,-7.0,4.0,50530.0,32.0,0.0,20.0,24.0,-16.0,21:00:16
34,50510.0,79.0,0.0,0.0,50520.0,1.0,0.0,16.0,16.0,-16.0,21:00:17
35,50510.0,79.0,0.0,10.0,50520.0,8.0,7.0,6.0,16.0,4.0,21:00:17
36,50510.0,71.0,-8.0,10.0,50520.0,6.0,-2.0,8.0,18.0,2.0,21:00:18
37,50520.0,5.0,0.0,38.0,50530.0,26.0,0.0,0.0,38.0,38.0,21:00:18
38,50510.0,72.0,0.0,12.0,50530.0,28.0,2.0,10.0,22.0,2.0,21:00:19
39,50510.0,70.0,-2.0,0.0,50520.0,14.0,0.0,4.0,4.0,-4.0,21:00:19
40,50510.0,35.0,-35.0,32.0,50520.0,1.0,-13.0,72.0,104.0,-40.0,21:00:20
41,50510.0,39.0,4.0,6.0,50520.0,13.0,12.0,2.0,8.0,4.0,21:00:20
42,50510.0,38.0,-1.0,10.0,50520.0,3.0,-10.0,2.0,12.0,8.0,21:00:21
43,50510.0,40.0,2.0,16.0,50520.0,4.0,1.0,-0.0,16.0,16.0,21:00:21
44,50510.0,39.0,-1.0,16.0,50520.0,2.0,-2.0,4.0,20.0,12.0,21:00:22
45,50520.0,84.0,0.0,10.0,50530.0,34.0,0.0,0.0,10.0,10.0,21:00:22
46,50520.0,88.0,4.0,2.0,50530.0,32.0,-2.0,-0.0,2.0,2.0,21:00:23
47,50520.0,74.0,-14.0,28.0,50530.0,18.0,-14.0,34.0,62.0,-6.0,21:00:23
48,50520.0,70.0,-4.0,0.0,50530.0,17.0,-1.0,40.0,40.0,-40.0,21:00:24
49,50530.0,2.0,0.0,38.0,50540.0,25.0,0.0,0.0,38.0,38.0,21:00:24
50,50520.0,69.0,0.0,0.0,50530.0,7.0,0.0,12.0,12.0,-12.0,21:00:25
51,50520.0,59.0,-10.0,14.0,50530.0,1.0,-6.0,22.0,36.0,-8.0,21:00:25
52,50520.0,58.0,-1.0,4.0,50530.0,1.0,0.0,2.0,6.0,2.0,21:00:26
53,50520.0,56.0,-2.0,0.0,50530.0,2.0,1.0,8.0,8.0,-8.0,21:00:26
54,50530.0,5.0,0.0,38.0,50540.0,33.0,0.0,0.0,38.0,38.0,21:00:27
55,50530.0,10.0,5.0,14.0,50540.0,27.0,-6.0,14.0,28.0,0.0,21:00:27
56,50530.0,17.0,7.0,14.0,50540.0,16.0,-11.0,52.0,66.0,-38.0,21:00:28
57,50530.0,29.0,12.0,16.0,50540.0,5.0,-11.0,12.0,28.0,4.0,21:00:28
58,50530.0,35.0,6.0,10.0,50540.0,3.0,-2.0,4.0,14.0,6.0,21:00:29
59,50540.0,19.0,0.0,14.0,50550.0,25.0,0.0,0.0,14.0,14.0,21:00:29
60,50540.0,32.0,13.0,2.0,50550.0,27.0,2.0,6.0,8.0,-4.0,21:00:30
61,50540.0,11.0,-21.0,8.0,50550.0,21.0,-6.0,36.0,44.0,-28.0,21:00:30
62,50550.0,10.0,0.0,56.0,50560.0,6.0,0.0,0.0,56.0,56.0,21:00:31
63,50550.0,23.0,13.0,8.0,50560.0,16.0,10.0,12.0,20.0,-4.0,21:00:31
64,50550.0,5.0,-18.0,4.0,50560.0,15.0,-1.0,30.0,34.0,-26.0,21:00:32
65,50540.0,50.0,0.0,0.0,50550.0,31.0,0.0,16.0,16.0,-16.0,21:00:32
66,50540.0,61.0,11.0,16.0,50550.0,29.0,-2.0,-0.0,16.0,16.0,21:00:33
67,50540.0,39.0,-22.0,20.0,50550.0,26.0,-3.0,18.0,38.0,2.0,21:00:33
68,50540.0,11.0,-28.0,10.0,50550.0,22.0,-4.0,2.0,12.0,8.0,21:00:34
69,50520.0,27.0,0.0,0.0,50540.0,14.0,0.0,122.0,122.0,-122.0,21:00:34
70,50530.0,12.0,0.0,68.0,50540.0,7.0,-7.0,12.0,80.0,56.0,21:00:35
71,50540.0,13.0,0.0,24.0,50550.0,41.0,0.0,0.0,24.0,24.0,21:00:35
72,50550.0,8.0,0.0,86.0,50560.0,16.0,0.0,0.0,86.0,86.0,21:00:36
73,50560.0,1.0,0.0,52.0,50570.0,12.0,0.0,0.0,52.0,52.0,21:00:36
74,50550.0,39.0,0.0,0.0,50560.0,1.0,0.0,48.0,48.0,-48.0,21:00:37
75,50560.0,8.0,0.0,2.0,50570.0,8.0,0.0,0.0,2.0,2.0,21:00:37
76,50560.0,1.0,-7.0,-18.0,50570.0,2.0,-6.0,108.0,90.0,-126.0,21:00:38
77,50560.0,11.0,10.0,16.0,50570.0,18.0,16.0,28.0,44.0,-12.0,21:00:38
78,50560.0,14.0,3.0,12.0,50570.0,13.0,-5.0,8.0,20.0,4.0,21:00:39
79,50550.0,27.0,0.0,0.0,50560.0,2.0,0.0,44.0,44.0,-44.0,21:00:39
80,50550.0,24.0,-3.0,28.0,50560.0,7.0,5.0,2.0,30.0,26.0,21:00:40
81,50550.0,24.0,0.0,4.0,50560.0,4.0,-3.0,-0.0,4.0,4.0,21:00:40
82,50560.0,4.0,0.0,28.0,50570.0,21.0,0.0,0.0,28.0,28.0,21:00:41
83,50550.0,19.0,0.0,0.0,50560.0,9.0,0.0,24.0,24.0,-24.0,21:00:41
84,50550.0,22.0,3.0,4.0,50560.0,17.0,8.0,8.0,12.0,-4.0,21:00:42
85,50560.0,3.0,0.0,86.0,50570.0,52.0,0.0,0.0,86.0,86.0,21:00:42
86,50540.0,14.0,0.0,0.0,50560.0,3.0,0.0,38.0,38.0,-38.0,21:00:43
87,50540.0,39.0,25.0,18.0,50550.0,6.0,0.0,4.0,22.0,14.0,21:00:43
88,50550.0,1.0,0.0,82.0,50560.0,29.0,0.0,0.0,82.0,82.0,21:00:44
89,50540.0,25.0,0.0,0.0,50550.0,3.0,0.0,12.0,12.0,-12.0,21:00:44
90,50540.0,32.0,7.0,10.0,50550.0,6.0,3.0,-0.0,10.0,10.0,21:00:45
91,50540.0,3.0,-29.0,0.0,50550.0,17.0,11.0,66.0,66.0,-66.0,21:00:45
92,50530.0,18.0,0.0,0.0,50540.0,19.0,0.0,16.0,16.0,-16.0,21:00:46
93,50530.0,14.0,-4.0,12.0,50540.0,19.0,0.0,2.0,14.0,10.0,21:00:46
94,50530.0,17.0,3.0,8.0,50540.0,19.0,0.0,6.0,14.0,2.0,21:00:47
95,50530.0,6.0,-11.0,10.0,50540.0,13.0,-6.0,38.0,48.0,-28.0,21:00:47
96,50530.0,27.0,21.0,4.0,50540.0,11.0,-2.0,-0.0,4.0,4.0,21:00:48
97,50530.0,28.0,1.0,0.0,50540.0,16.0,5.0,4.0,4.0,-4.0,21:00:48
98,50530.0,2.0,-26.0,0.0,50540.0,18.0,2.0,32.0,32.0,-32.0,21:00:49
99,50520.0,42.0,0.0,0.0,50530.0,19.0,0.0,28.0,28.0,-28.0,21:00:49
100,50520.0,40.0,-2.0,2.0,50530.0,16.0,-3.0,-0.0,2.0,2.0,21:00:50
101,50520.0,38.0,-2.0,16.0,50530.0,27.0,11.0,4.0,20.0,12.0,21:00:50
102,50520.0,38.0,0.0,2.0,50530.0,31.0,4.0,-0.0,2.0,2.0,21:00:51
103,50520.0,37.0,-1.0,47.0,50540.0,8.0,0.0,31.0,78.0,16.0,21:00:51
104,50520.0,3.0,-34.0,4.0,50530.0,1.0,0.0,80.0,84.0,-76.0,21:00:52
105,50520.0,9.0,6.0,0.0,50530.0,29.0,28.0,22.0,22.0,-22.0,21:00:52
106,50510.0,56.0,0.0,0.0,50520.0,2.0,0.0,8.0,8.0,-8.0,21:00:53
107,50520.0,1.0,0.0,26.0,50530.0,43.0,0.0,0.0,26.0,26.0,21:00:53
108,50520.0,16.0,15.0,4.0,50530.0,44.0,1.0,20.0,24.0,-16.0,21:00:54
109,50520.0,3.0,-13.0,16.0,50530.0,42.0,-2.0,10.0,26.0,6.0,21:00:54
110,50520.0,10.0,7.0,4.0,50530.0,45.0,3.0,-0.0,4.0,4.0,21:00:55
111,50520.0,6.0,-4.0,0.0,50530.0,34.0,-11.0,10.0,10.0,-10.0,21:00:55
112,50510.0,58.0,0.0,0.0,50520.0,10.0,0.0,18.0,18.0,-18.0,21:00:56
113,50520.0,2.0,0.0,50.0,50530.0,21.0,0.0,0.0,50.0,50.0,21:00:56
114,50520.0,4.0,2.0,0.0,50530.0,23.0,2.0,30.0,30.0,-30.0,21:00:57
115,50530.0,1.0,0.0,84.0,50540.0,1.0,0.0,0.0,84.0,84.0,21:00:57
116,50530.0,16.0,15.0,8.0,50540.0,34.0,33.0,4.0,12.0,4.0,21:00:58
117,50530.0,10.0,-6.0,2.0,50540.0,35.0,1.0,22.0,24.0,-20.0,21:00:58
118,50530.0,17.0,7.0,0.0,50540.0,26.0,-9.0,2.0,2.0,-2.0,21:00:59
119,50520.0,27.0,0.0,0.0,50530.0,7.0,0.0,36.0,36.0,-36.0,21:00:59
120,50530.0,10.0,0.0,18.0,50540.0,26.0,0.0,0.0,18.0,18.0,21:01:00
121,50530.0,10.0,0.0,12.0,50540.0,26.0,0.0,10.0,22.0,2.0,21:01:00
122,50520.0,29.0,0.0,0.0,50530.0,22.0,0.0,16.0,16.0,-16.0,21:01:01
123,50520.0,32.0,3.0,36.0,50530.0,5.0,-17.0,2.0,38.0,34.0,21:01:01
124,50520.0,23.0,-9.0,7.0,50540.0,27.0,0.0,21.0,28.0,-14.0,21:01:02
125,50520.0,27.0,4.0,0.0,50540.0,29.0,2.0,-0.0,0.0,0.0,21:01:02
126,50520.0,19.0,-8.0,0.0,50530.0,1.0,0.0,8.0,8.0,-8.0,21:01:03
127,50520.0,20.0,1.0,0.0,50530.0,17.0,16.0,6.0,6.0,-6.0,21:01:03
128,50520.0,24.0,4.0,59.33333333333334,50550.0,31.0,0.0,48.66666666666666,108.0,10.666666666666671,21:01:04
129,50530.0,11.0,0.0,0.0,50540.0,26.0,0.0,24.0,24.0,-24.0,21:01:04
130,50520.0,20.0,0.0,0.0,50530.0,17.0,0.0,26.0,26.0,-26.0,21:01:05
131,50530.0,85.0,0.0,104.0,50550.0,25.0,0.0,0.0,104.0,104.0,21:01:05
132,50550.0,7.0,0.0,68.0,50560.0,29.0,0.0,0.0,68.0,68.0,21:01:06
133,50550.0,19.0,12.0,28.0,50570.0,39.0,0.0,50.0,78.0,-22.0,21:01:06
134,50550.0,19.0,0.0,30.0,50570.0,31.0,-8.0,14.0,44.0,16.0,21:01:07
135,50570.0,27.0,0.0,76.0,50580.0,9.0,0.0,0.0,76.0,76.0,21:01:07
136,50570.0,36.0,9.0,22.0,50580.0,10.0,1.0,4.0,26.0,18.0,21:01:08
137,50570.0,34.0,-2.0,23.0,50590.0,102.0,0.0,27.0,50.0,-4.0,21:01:08
138,50570.0,33.0,-1.0,8.0,50590.0,95.0,-7.0,4.0,12.0,4.0,21:01:09
139,50580.0,8.0,0.0,0.0,50590.0,95.0,0.0,8.0,8.0,-8.0,21:01:09
140,50570.0,37.0,0.0,0.0,50580.0,1.0,0.0,68.0,68.0,-68.0,21:01:10
141,50570.0,30.0,-7.0,14.0,50580.0,14.0,13.0,30.0,44.0,-16.0,21:01:10
142,50570.0,11.0,-19.0,0.0,50580.0,15.0,1.0,38.0,38.0,-38.0,21:01:11
143,50570.0,12.0,1.0,0.0,50580.0,25.0,10.0,-0.0,0.0,0.0,21:01:11
144,50570.0,5.0,-7.0,32.0,50580.0,11.0,-14.0,26.0,58.0,6.0,21:01:12
145,50580.0,31.0,0.0,52.0,50590.0,93.0,0.0,0.0,52.0,52.0,21:01:12
146,50570.0,15.0,0.0,0.0,50580.0,8.0,0.0,84.0,84.0,-84.0,21:01:13
147,50570.0,10.0,-5.0,2.0,50580.0,8.0,0.0,28.0,30.0,-26.0,21:01:13
148,50570.0,21.0,11.0,0.0,50580.0,28.0,20.0,2.0,2.0,-2.0,21:01:14
149,50570.0,19.0,-2.0,8.0,50580.0,25.0,-3.0,8.0,16.0,0.0,21:01:14
150,50570.0,16.0,-3.0,0.0,50580.0,28.0,3.0,2.0,2.0,-2.0,21:01:15
151,50570.0,9.0,-7.0,8.0,50580.0,27.0,-1.0,14.0,22.0,-6.0,21:01:15
