,Price,TickVolume,,,,,,
20:59:00,16710,390,0,0,0,0,0,0
21:00:00,16715,132,0,0,0,0,0,0
21:00:01,16705,190,0,0,0,0,0,0
21:00:01,16710,146,0,0,0,0,0,0
21:00:02,16700,182,0,0,0,0,0,0
21:00:02,16705,98,0,0,0,0,0,0
21:00:03,16705,30,0,0,0,0,0,0
21:00:03,16700,140,0,0,0,0,0,0
21:00:04,16710,92,0,0,0,0,0,0
21:00:04,16710,64,0,0,0,0,0,0
21:00:05,16710,88,0,0,0,0,0,0
21:00:05,16720,92,0,0,0,0,0,0
21:00:06,16710,68,0,0,0,0,0,0
21:00:06,16715,24,0,0,0,0,0,0
21:00:07,16720,38,0,0,0,0,0,0
21:00:07,16720,64,0,0,0,0,0,0
21:00:08,16720,34,0,0,0,0,0,0
21:00:08,16720,16,0,0,0,0,0,0
21:00:09,16725,14,0,0,0,0,0,0
21:00:09,16720,46,0,0,0,0,0,0
21:00:10,16730,12,0,0,0,0,0,0
21:00:10,16730,42,0,0,0,0,0,0
21:00:11,16730,32,0,0,0,0,0,0
21:00:11,16730,50,0,0,0,0,0,0
21:00:12,16735,36,0,0,0,0,0,0
21:00:12,16735,58,0,0,0,0,0,0
21:00:13,16735,120,0,0,0,0,0,0
21:00:13,16735,38,0,0,0,0,0,0
21:00:14,16730,10,0,0,0,0,0,0
21:00:14,16735,50,0,0,0,0,0,0
21:00:15,16735,36,0,0,0,0,0,0
21:00:15,16735,16,0,0,0,0,0,0
21:00:16,16735,26,0,0,0,0,0,0
21:00:16,16730,30,0,0,0,0,0,0
21:00:17,16730,18,0,0,0,0,0,0
21:00:17,16730,12,0,0,0,0,0,0
21:00:18,16735,22,0,0,0,0,0,0
21:00:18,16725,6,0,0,0,0,0,0
21:00:19,16725,64,0,0,0,0,0,0
21:00:19,16730,22,0,0,0,0,0,0
21:00:20,16725,18,0,0,0,0,0,0
21:00:20,16730,36,0,0,0,0,0,0
21:00:21,16735,50,0,0,0,0,1,0
21:00:21,16725,22,0,0,0,0,1,0
21:00:22,16730,18,0,0,0,0,1,0
21:00:22,16730,14,0,0,0,0,1,0
21:00:23,16725,4,0,0,0,0,1,0
21:00:23,16725,8,0,0,0,0,1,0
21:00:24,16730,14,0,0,0,0,1,0
21:00:24,16730,68,0,0,0,0,1,0
21:00:25,16730,22,0,0,0,0,1,0
21:00:25,16735,80,0,0,0,0,1,0
21:00:26,16735,20,0,0,0,0,1,0
21:00:26,16735,10,0,0,0,0,1,0
21:00:27,16740,68,0,0,0,0,1,0
21:00:27,16735,28,0,0,0,0,1,0
21:00:28,16735,26,0,0,0,0,1,0
21:00:28,16735,8,0,0,0,0,1,0
21:00:29,16730,6,0,0,0,0,1,0
21:00:29,16735,16,0,0,0,0,1,0
21:00:30,16730,2,0,0,0,0,1,0
21:00:30,16735,12,0,0,0,0,1,0
21:00:31,16730,50,0,0,0,0,1,0
21:00:31,16730,16,0,0,0,0,1,0
21:00:32,16735,6,0,0,0,0,1,0
21:00:32,16735,8,0,0,0,0,1,0
21:00:33,16730,26,0,0,0,0,1,0
21:00:33,16725,26,0,0,0,0,1,0
21:00:34,16730,6,0,0,0,0,1,0
21:00:34,16725,6,0,0,0,0,1,0
