,lastPrice,tick_volume,bidPrice1,askPrice1,bidPrice1_change,askPrice1_change,bidVolume1,askVolume1,bid_vol_change,ask_vol_change,buy_tick_volume,sell_tick_volume,buy_minus_sell_volume,updateTime
0,12105.0,670.0,12105.0,12110.0,,,56.0,70.0,,,670.0,0.0,,20:59:00
1,12090.0,346.0,12090.0,12100.0,-1.0,-1.0,22.0,5.0,0.0,0.0,0.0,346.0,-346.0,21:00:00
2,12080.0,736.0,12080.0,12090.0,-1.0,-1.0,3.0,35.0,0.0,0.0,0.0,736.0,-736.0,21:00:01
3,12065.0,450.0,12065.0,12075.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,450.0,-450.0,21:00:01
4,12055.0,1120.0,12055.0,12065.0,-1.0,-1.0,200.0,4.0,0.0,0.0,0.0,1120.0,-1120.0,21:00:02
5,12070.0,684.0,12065.0,12070.0,1.0,1.0,2.0,15.0,0.0,0.0,684.0,0.0,684.0,21:00:02
6,12070.0,190.0,12070.0,12080.0,1.0,1.0,81.0,3.0,0.0,0.0,190.0,0.0,190.0,21:00:03
7,12090.0,134.0,12085.0,12090.0,1.0,1.0,12.0,3.0,0.0,0.0,134.0,0.0,134.0,21:00:03
8,12090.0,288.0,12090.0,12095.0,1.0,1.0,17.0,48.0,0.0,0.0,288.0,0.0,288.0,21:00:04
9,12090.0,108.0,12090.0,12095.0,0.0,0.0,46.0,38.0,29.0,-10.0,40.0,68.0,-28.0,21:00:04
10,12090.0,194.0,12090.0,12095.0,0.0,0.0,75.0,4.0,29.0,-34.0,178.0,16.0,162.0,21:00:05
11,12095.0,220.0,12095.0,12105.0,1.0,1.0,40.0,29.0,0.0,0.0,220.0,0.0,220.0,21:00:05
12,12105.0,30.0,12100.0,12105.0,1.0,0.0,11.0,22.0,0.0,-7.0,23.0,7.0,16.0,21:00:06
13,12100.0,350.0,12095.0,12100.0,-1.0,-1.0,156.0,33.0,0.0,0.0,0.0,350.0,-350.0,21:00:06
14,12100.0,114.0,12095.0,12100.0,0.0,0.0,128.0,60.0,-28.0,27.0,58.0,56.0,2.0,21:00:07
15,12100.0,56.0,12095.0,12100.0,0.0,0.0,121.0,45.0,-7.0,-15.0,42.0,14.0,28.0,21:00:07
16,12100.0,92.0,12100.0,12105.0,1.0,1.0,5.0,9.0,0.0,0.0,92.0,0.0,92.0,21:00:08
17,12115.0,80.0,12110.0,12115.0,1.0,1.0,1.0,10.0,0.0,0.0,80.0,0.0,80.0,21:00:08
18,12110.0,56.0,12110.0,12115.0,0.0,0.0,4.0,18.0,3.0,8.0,8.0,48.0,-40.0,21:00:09
19,12115.0,16.0,12110.0,12115.0,0.0,0.0,18.0,18.0,14.0,0.0,6.0,10.0,-4.0,21:00:09
20,12110.0,110.0,12105.0,12110.0,-1.0,-1.0,10.0,12.0,0.0,0.0,0.0,110.0,-110.0,21:00:10
21,12115.0,88.0,12110.0,12115.0,1.0,1.0,8.0,2.0,0.0,0.0,88.0,0.0,88.0,21:00:10
22,12115.0,26.0,12115.0,12120.0,1.0,1.0,19.0,22.0,0.0,0.0,26.0,0.0,26.0,21:00:11
23,12115.0,86.0,12110.0,12115.0,-1.0,-1.0,23.0,11.0,0.0,0.0,0.0,86.0,-86.0,21:00:11
24,12115.0,70.0,12115.0,12120.0,1.0,1.0,149.0,27.0,0.0,0.0,70.0,0.0,70.0,21:00:12
25,12120.0,76.0,12120.0,12125.0,1.0,1.0,70.0,16.0,0.0,0.0,76.0,0.0,76.0,21:00:12
26,12125.0,254.0,12125.0,12130.0,1.0,1.0,14.0,34.0,0.0,0.0,254.0,0.0,254.0,21:00:13
27,12130.0,132.0,12125.0,12135.0,0.0,1.0,5.0,38.0,-9.0,0.0,108.0,24.0,84.0,21:00:13
28,12125.0,126.0,12125.0,12130.0,0.0,-1.0,39.0,1.0,34.0,0.0,95.0,31.0,64.0,21:00:14
29,12130.0,26.0,12130.0,12135.0,1.0,1.0,29.0,14.0,0.0,0.0,26.0,0.0,26.0,21:00:14
30,12140.0,122.0,12135.0,12140.0,1.0,1.0,21.0,22.0,0.0,0.0,122.0,0.0,122.0,21:00:15
31,12140.0,222.0,12140.0,12145.0,1.0,1.0,3.0,25.0,0.0,0.0,222.0,0.0,222.0,21:00:15
32,12145.0,226.0,12140.0,12145.0,0.0,0.0,2.0,4.0,-1.0,-21.0,0.0,226.0,-226.0,21:00:16
33,12135.0,142.0,12135.0,12140.0,-1.0,-1.0,10.0,55.0,0.0,0.0,0.0,142.0,-142.0,21:00:16
34,12140.0,116.0,12130.0,12140.0,-1.0,0.0,2.0,39.0,0.0,-16.0,0.0,116.0,-116.0,21:00:17
35,12130.0,22.0,12130.0,12135.0,0.0,-1.0,10.0,5.0,8.0,0.0,8.0,14.0,-6.0,21:00:17
36,12130.0,104.0,12125.0,12130.0,-1.0,-1.0,20.0,11.0,0.0,0.0,0.0,104.0,-104.0,21:00:18
37,12125.0,10.0,12125.0,12130.0,0.0,0.0,19.0,35.0,-1.0,24.0,4.0,6.0,-2.0,21:00:18
38,12130.0,112.0,12125.0,12130.0,0.0,0.0,1.0,21.0,-18.0,-14.0,54.0,58.0,-4.0,21:00:19
39,12130.0,52.0,12125.0,12130.0,0.0,0.0,5.0,20.0,4.0,-1.0,22.0,30.0,-8.0,21:00:19
40,12125.0,34.0,12125.0,12130.0,0.0,0.0,44.0,25.0,39.0,5.0,22.0,12.0,10.0,21:00:20
41,12130.0,56.0,12130.0,12135.0,1.0,1.0,13.0,24.0,0.0,0.0,56.0,0.0,56.0,21:00:20
42,12130.0,34.0,12130.0,12135.0,0.0,0.0,25.0,14.0,12.0,-10.0,28.0,6.0,22.0,21:00:21
43,12135.0,6.0,12130.0,12135.0,0.0,0.0,40.0,16.0,15.0,2.0,2.0,4.0,-2.0,21:00:21
44,12130.0,126.0,12125.0,12130.0,-1.0,-1.0,44.0,2.0,0.0,0.0,0.0,126.0,-126.0,21:00:22
45,12130.0,10.0,12125.0,12130.0,0.0,0.0,44.0,3.0,0.0,1.0,10.0,-0.0,10.0,21:00:22
46,12135.0,22.0,12130.0,12135.0,1.0,1.0,5.0,4.0,0.0,0.0,22.0,0.0,22.0,21:00:23
47,12135.0,16.0,12130.0,12135.0,0.0,0.0,3.0,39.0,-2.0,35.0,4.0,12.0,-8.0,21:00:23
48,12130.0,10.0,12130.0,12135.0,0.0,0.0,1.0,41.0,-2.0,2.0,6.0,4.0,2.0,21:00:24
49,12135.0,28.0,12130.0,12135.0,0.0,0.0,14.0,30.0,13.0,-11.0,26.0,2.0,24.0,21:00:24
50,12135.0,28.0,12130.0,12135.0,0.0,0.0,37.0,22.0,23.0,-8.0,28.0,-0.0,28.0,21:00:25
51,12135.0,58.0,12135.0,12140.0,1.0,1.0,19.0,64.0,0.0,0.0,58.0,0.0,58.0,21:00:25
52,12135.0,28.0,12135.0,12140.0,0.0,0.0,22.0,60.0,3.0,-4.0,20.0,8.0,12.0,21:00:26
53,12135.0,54.0,12135.0,12140.0,0.0,0.0,21.0,45.0,-1.0,-15.0,38.0,16.0,22.0,21:00:26
54,12135.0,28.0,12135.0,12140.0,0.0,0.0,10.0,44.0,-11.0,-1.0,12.0,16.0,-4.0,21:00:27
