,lastPrice,tick_volume,bidPrice1,askPrice1,bidPrice1_change,askPrice1_change,bidVolume1,askVolume1,bid_vol_change,ask_vol_change,buy_tick_volume,sell_tick_volume,buy_minus_sell_volume,updateTime,1min sum(N),2min sum(N),,
0,12095,386,12090,12095,,,39,21,,,0,386,,20:59:00,,,,
1,12100,202,12095,12100,1,1,1,67,0,0,202,0,202,21:00:00,,,,
2,12090,356,12090,12100,-1,0,20,18,0,-49,118,238,-120,21:00:01,,,,
3,12095,134,12090,12095,0,-1,42,35,22,0,43,91,-48,21:00:01,,,,
4,12090,292,12085,12090,-1,-1,92,65,0,0,0,292,-292,21:00:02,,,,
5,12090,176,12085,12090,0,0,71,20,-21,-45,132,44,88,21:00:02,,,,
6,12095,176,12090,12095,1,1,6,21,0,0,176,0,176,21:00:03,,,,
7,12090,210,12090,12095,0,0,6,5,0,-16,52,158,-106,21:00:03,,,,
8,12095,78,12095,12100,1,1,12,31,0,0,78,0,78,21:00:04,,,,
9,12095,270,12085,12095,-1,-1,20,47,0,0,0,270,-270,21:00:04,,,,
10,12085,210,12080,12085,-1,-1,65,8,0,0,0,210,-210,21:00:05,,,,
11,12085,258,12085,12090,1,1,17,7,0,0,258,0,258,21:00:05,,,,
12,12085,186,12080,12085,-1,-1,48,9,0,0,0,186,-186,21:00:06,,,,
13,12080,86,12080,12085,0,0,28,16,-20,7,48,38,10,21:00:06,,,,
14,12085,130,12075,12080,-1,-1,82,20,0,0,0,130,-130,21:00:07,,,,
15,12080,226,12080,12085,1,1,1,33,0,0,226,0,226,21:00:07,,,,
16,12085,30,12080,12085,0,0,38,30,37,-3,16,14,2,21:00:08,,,,
17,12085,104,12085,12090,1,1,20,14,0,0,104,0,104,21:00:08,,,,
18,12095,100,12090,12095,1,1,12,9,0,0,100,0,100,21:00:09,,,,
19,12090,70,12085,12090,-1,-1,40,12,0,0,0,70,-70,21:00:09,,,,
20,12085,152,12085,12090,0,0,9,2,-31,-10,18,134,-116,21:00:10,,,,
21,12080,84,12085,12090,0,0,1,38,-8,36,0,84,-84,21:00:10,,,,
22,12090,94,12085,12090,0,0,13,14,12,-24,56,38,18,21:00:11,,,,
23,12090,62,12090,12095,1,1,5,24,0,0,62,0,62,21:00:11,,,,
24,12095,62,12090,12095,0,0,19,19,14,-5,26,36,-10,21:00:12,,,,
25,12095,108,12095,12100,1,1,1,17,0,0,108,0,108,21:00:12,,,,
26,12095,76,12095,12100,0,0,15,24,14,7,60,16,44,21:00:13,,,,
27,12095,92,12090,12095,-1,-1,68,2,0,0,0,92,-92,21:00:13,,,,
28,12095,20,12095,12100,1,1,16,16,0,0,20,0,20,21:00:14,,,,
29,12095,90,12095,12100,0,0,6,12,-10,-4,4,86,-82,21:00:14,,,,
30,12095,20,12095,12100,0,0,18,36,12,24,12,8,4,21:00:15,,,,
31,12095,140,12100,12105,1,1,10,7,0,0,140,0,140,21:00:15,,,,
32,12100,36,12100,12105,0,0,40,1,30,-6,26,10,16,21:00:16,,,,
33,12105,38,12105,12110,1,1,3,29,0,0,38,0,38,21:00:16,,,,
34,12100,40,12100,12105,-1,-1,45,67,0,0,0,40,-40,21:00:17,,,,
35,12105,78,12100,12105,0,0,16,70,-29,3,34,44,-10,21:00:17,,,,
36,12100,76,12095,12100,-1,-1,36,10,0,0,0,76,-76,21:00:18,,,,
37,12100,22,12095,12100,0,0,36,13,0,3,12,10,2,21:00:18,,,,
38,12100,58,12100,12105,1,1,19,70,0,0,58,0,58,21:00:19,,,,
39,12100,14,12100,12105,0,0,25,80,6,10,6,8,-2,21:00:19,,,,
40,12105,64,12100,12105,0,0,6,68,-19,-12,22,42,-20,21:00:20,,,,
41,12100,144,12095,12100,-1,-1,46,17,0,0,0,144,-144,21:00:20,,,,
42,12100,52,12095,12100,0,0,46,7,0,-10,52,0,52,21:00:21,,,,
43,12095,26,12100,12105,1,1,3,57,0,0,26,0,26,21:00:21,,,,
44,12100,34,12100,12105,0,0,14,59,11,2,14,20,-6,21:00:22,,,,
45,12100,8,12100,12105,0,0,28,59,14,0,2,6,-4,21:00:22,,,,
46,12100,30,12100,12105,0,0,30,46,2,-13,24,6,18,21:00:23,,,,
47,12105,22,12100,12105,0,0,39,35,9,-11,18,4,14,21:00:23,,,,
48,12100,50,12100,12105,0,0,28,8,-11,-27,46,4,42,21:00:24,,,,
49,12105,40,12105,12110,1,1,10,40,0,0,40,0,40,21:00:24,,,,
50,12105,26,12105,12110,0,0,22,30,12,-10,22,4,18,21:00:25,,,,
51,12105,4,12105,12110,0,0,35,30,13,0,0,4,-4,21:00:25,,,,
52,12110,44,12105,12110,0,0,27,20,-8,-10,24,20,4,21:00:26,,,,
53,12110,16,12105,12110,0,0,31,14,4,-6,16,0,16,21:00:26,,,,
54,12105,30,12105,12110,0,0,39,24,8,10,26,4,22,21:00:27,,,,
55,12110,18,12105,12110,0,0,39,31,0,7,16,2,14,21:00:27,,,,
56,12105,26,12105,12110,0,0,37,27,-2,-4,22,4,18,21:00:28,,,,
57,12105,34,12105,12110,0,0,33,19,-4,-8,24,10,14,21:00:28,,,,
58,12110,92,12105,12110,0,0,16,3,-17,-16,48,44,4,21:00:29,,,,
